COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & E POSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LOCC,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Life Expectancy(2023),1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Peru,PER,4.8,Medium,43,2.2,4.6,7,9.9,6.4,9.3,0,4.3,5.3,0.8,1.2,0,5.5,3.4,4.1,5,0.4,7,9.4,0.7,0.8,0.1,2.4,1,4.4,4.8,3.6,6,3.9,2.1,4.4,5,77,55,57,59,60,61,62,63,65,66,67,67,68,69
Philippines,PHL,5.2,High,34,3,7.8,8.4,10,7.2,9.3,9.5,4.1,6.4,7,9.2,7,4.4,3.8,4.4,5,1.2,4.9,5.1,3.8,3.1,7.9,1.6,4.6,4.1,4.7,3.5,5.8,3.4,2.4,2.7,5,71,61,66,68,70,70,70,71,71,71,73,75,76,77
Poland,POL,2.5,Low,139,5.5,1.3,2.3,1.3,6.1,0,0,2.7,2.1,0.1,0.1,0,3.9,0.6,0.4,1.4,0.3,6.1,8.8,0.1,0.3,0,0.7,0.3,3,4.3,4.3,4.3,1.4,1.8,0,2,78,60,62,64,66,68,70,73,74,75,76,78,79,81
Portugal,PRT,2,Low,156,3.2,1.9,3.4,3.7,3.7,6.2,0.3,2.9,2,0.1,0.1,0,2.1,0.8,0.7,1.5,0.1,3.2,5.3,0.3,0.2,0,0.8,0.3,2,3,2.6,3.4,0.8,1.8,0,1,81,55,59,63,67,70,72,73,75,75,76,77,77,78
Qatar,QAT,1.4,Very0Low,180,4,0.9,1.7,0.1,0,1.6,0,4.3,3.1,0.1,0.1,0,1,1.2,1,2.5,0.1,0.8,1.1,0.3,0.4,0,1.4,0.5,2.9,4.1,4.7,3.5,1.6,1.2,0.2,4,80,43,47,50,52,54,55,57,57,55,52,52,58,63
Romania,ROU,2.7,Low,127,3.3,2.3,4.1,6.6,7,0,0,2.7,4.7,0.1,0.2,0,2.5,1.6,1.4,3.1,0.6,3.4,5.6,0.5,0.5,0,0.4,0.4,3.4,4.7,3.8,5.6,1.8,1.7,0.9,3,75,61,63,68,67,69,70,70,70,70,70,71,73,75
Russia,RUS,4.1,Medium,71,4.3,4.4,5.7,5.1,8.4,5.5,3.8,6.1,3.2,2.7,3.9,0,3.6,1.5,1.5,2.9,0.1,5.3,8,0.4,0.4,0,0.9,0.4,4.3,6,0,6,2,0.9,3.6,1,73,59,65,68,68,68,68,67,69,67,66,65,67,70
Rwanda,RWA,4.5,Medium,55,1.2,3,3.5,4.5,4.4,0,0,4.2,6.1,2.4,3.4,0,5.9,6.4,8.1,5.1,4.2,5.4,6.3,3.6,2.4,0.1,8.3,4.4,5,3.8,3,4.5,6,6,6.1,6,69,40,42,43,44,45,46,50,48,24,45,51,60,65
Saint Lucia,LCA,2.3,Low,145,6.4,1.4,2.6,4.3,0.1,0,4.7,0.5,4.6,0,0,0,2.3,3.5,3,6,2.1,0.9,0,0.1,1.3,0.1,4.9,1.8,3.9,4.9,5.2,4.6,2.7,3.1,0.8,4,76,52,55,59,62,64,67,70,71,71,71,72,74,75
Saint Vincent and the Grenadines,VCT,2.3,Low,145,5.9,1.4,2.6,5.1,0.1,0,4.3,0.5,4.1,0,0,0,2.6,3.4,3.2,0,3.8,1.7,0,0.2,1.1,6.7,2.7,3.1,3.5,4.4,0,4.4,2.4,3.4,0.8,3,72,51,55,61,64,66,67,68,70,70,71,71,72,73
Samoa,WSM,3.1,Low,112,6.1,2,3.6,4.3,0.1,6.9,4.4,0.5,3,0,0,0,3.4,5.3,3.7,4.1,9.5,1,0,4.9,1.1,0,1.3,2,4.2,4.4,4.6,4.1,4,3.8,2.1,6,73,46,48,51,53,56,59,61,63,66,68,70,72,74
São Tomé and Príncipe,STP,2.6,Low,132,2.7,0.7,1.3,0.1,0.1,0,0,0,5.7,0,0,0,4.8,5.8,6.5,5.6,4.6,3.7,0,3.2,1.2,10,4.4,6.2,5.3,5.9,0,5.9,4.7,4.2,4.5,5,70,46,49,52,54,57,60,61,61,62,63,64,65,66
Saudi Arabia,SAU,3.5,Medium,94,3.8,8.1,3.1,2.3,3.7,0,0,5,5.7,10,1.5,10,1.6,1.3,0.9,3.4,0,1.8,3.1,0.1,0.5,0,1,0.4,3.4,4.7,0,4.7,1.9,1.2,3.2,1,75,42,44,47,50,55,61,65,68,70,72,73,73,74
Senegal,SEN,4.2,Medium,68,0.9,2.6,4.4,0.1,4.8,6.4,0,6.1,6.2,0.3,0.4,0,5,6.4,8.5,5.2,3.2,3.1,4.1,1.9,3.1,0,2.4,1.9,5.5,5.1,4.7,5.4,5.8,5.3,5.6,6,68,35,37,39,38,41,47,51,56,58,57,59,62,66
Serbia,SRB,2.8,Low,124,2.5,2.5,4.4,5.5,8.9,0,0,2.9,3.9,0.1,0.1,0,2.4,1.5,1.3,2.1,1.4,3.2,5.1,0.1,0.3,0,2.4,0.8,3.7,5.3,4.9,5.6,1.7,1.6,1.2,2,76,59,62,64,67,69,70,70,71,72,72,72,73,75
Seychelles,SYC,1.9,Very0Low,160,5.4,1.6,2.9,0.1,0.1,8.6,0,0,2.8,0,0,0,1.4,1.5,1.9,1.8,0.5,1.2,0,0.1,1,0,6.2,2.3,2.9,3.9,4.3,3.5,1.7,0.9,0.8,3,73,58,59,63,64,67,69,70,71,71,71,72,72,73
Sierra Leone,SLE,4.4,Medium,61,1.8,2.2,3.9,0.1,4.6,5.8,0,1,7.9,0.1,0.2,0,5.8,7.1,9.1,5.7,4.3,4.1,2.8,6.6,5.5,0,6.8,5.2,6.8,5.2,3.5,6.8,8,7.6,8.2,8,54,29,30,31,33,37,40,41,39,36,37,41,46,50
Singapore,SGP,0.5,Very0Low,191,5,0.5,0.9,0.1,0.1,0,0,0,4.3,0.1,0.1,0,0.3,0.2,0,0.9,0,0.4,0,0.4,0.2,0,1.9,0.7,1,1.1,1.2,0.9,0.9,1.1,0,2,83,60,64,66,67,69,71,73,75,77,78,79,81,82
Slovakia,SVK,2.2,Low,150,4.2,1.5,2.8,4.2,6.7,0,0,1.5,2,0.1,0.1,0,2.6,0.9,0.8,1.3,0.5,4.1,6.4,0.1,0.4,0,2.4,0.8,2.6,3.9,3.4,4.4,1.1,1.5,0.1,2,77,64,69,71,70,70,70,71,71,72,73,74,75,76
Slovenia,SVN,1.6,Very0Low,176,3.3,1.9,3.4,6.1,4,5.7,0,0.5,1.5,0,0,0,1.3,0.2,0,0.4,0.2,2.3,3.8,0.1,0.2,0,1.6,0.5,1.6,2.2,0.9,3.5,0.9,1.4,0.1,1,81,66,68,69,69,70,71,71,73,74,75,77,79,80
Solomon Islands,SLB,4.5,Medium,55,6.5,3.5,5.9,8.4,0.1,8.7,4.1,3.2,5.9,0,0,0,4,5.7,6.7,3,6.4,1.7,0,4.4,2.6,0,4.8,3.2,6.5,6.5,6.6,6.3,6.5,5.7,7.8,6,73,45,48,50,53,56,58,59,56,58,61,65,67,70
Somalia,SOM,8.7,Very0High,1,5,8.9,6.9,1.6,7.5,8.1,1,10,6.4,10,10,10,8.6,7.2,8.7,2.9,8.4,9.5,10,2.1,8.8,10,9.8,8.8,8.6,9,0,9,8.2,7.4,7.5,10,57,34,36,38,40,42,44,45,46,45,50,51,53,55
South Africa,ZAF,5.3,High,31,1.6,6.8,5.1,2,5,4.9,0.4,9.1,4.7,8,7.9,8,5.4,4.2,4.5,7.5,0.3,6.4,6.2,5.8,1.9,10,2.5,6.5,4,4.5,3.9,5,3.4,1.9,3.7,5,64,49,51,53,55,57,57,58,61,62,59,54,53,59
