COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,Overall RISK,Rank
Russian Federation,RUS,6.9,7.9,0,1.1,4,4.7,9.3,7,7,6,3.8,2.5,0,2.5,0,0.4,0,1.8,0.8,0.4,1.5,x,6.5,6.5,3.8,4.5,2,3.4,5.1,3.6,98
Hungary,HUN,3.5,6.4,0,0,2.4,2.9,1.1,0,0.7,1.9,3.1,1.3,0,1.9,0,0.1,0,2.6,1,0.5,1.2,0.9,4.2,2.5,6.1,0,2,2.7,2.6,1.8,159
Israel,ISR,5.5,3.9,3,0,2,3.1,4.6,0,3.2,3.1,4.2,2.9,0,2.8,1.3,0.1,0,0.5,0.2,0.8,1.9,x,3.2,3.2,2.6,1.5,2,2,2.6,2.5,139
Cyprus,CYP,4.7,0.5,4.3,0,1.8,2.5,0.1,0,0.1,1.4,3.7,4.7,0,3,0,0,0,2.8,1,0.5,1.9,x,3,3,4.1,0.3,2,2.2,2.6,1.9,157
Lithuania,LTU,0,4.6,0,0,1.3,1.4,0.1,0,0.1,0.7,4.1,2.7,0,2.7,1,0.2,0,1.3,0.5,0.8,1.8,x,3.8,3.8,3.9,1,2,2.4,3.1,1.6,169
Slovenia,SVN,6.3,4.5,0,0,0.6,2.7,0,0,0,1.5,2.3,1.2,0,1.4,0,0.1,2.6,1.8,1.5,0.8,1.1,0.8,3.6,2.2,4.2,0,2,2.2,2.2,1.5,170
Japan,JPN,10,7.8,10,8.1,0,8.4,1.3,0,0.9,5.9,2.7,1.8,0,1.8,0,0.2,0,3.2,1.3,0.6,1.2,1.9,2.2,2.1,5.1,1.4,2,2.9,2.5,2.6,133
Bulgaria,BGR,6.3,4.9,0,0,2.6,3.2,1.9,0,1.3,2.3,3.9,1.1,0,2.2,0,0.1,0.1,2.7,1,0.5,1.4,3.7,5.3,4.5,4.4,3,3,3.3,3.9,2.3,145
Estonia,EST,0,2.7,0,0,0,0.6,0.1,0,0.1,0.3,2.2,1.7,0,1.5,2.1,0.3,0,1.8,0.7,1.4,1.5,x,3.1,3.1,3.6,0.7,3,2.3,2.7,1.1,181
Slovakia,SVK,4.9,5.6,0,0,1.1,2.7,3.2,0,2.2,2.5,2.1,0.6,0,1.2,0,0,0,2.3,0.9,0.4,0.8,x,4.4,4.4,5.9,1.4,3,3.3,3.8,2,154
