COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,Overall RISK,Rank
Thailand,THA,3.4,10,3.4,1.3,5.3,5.9,7.4,0,5.2,5.6,7,5.1,0,4.8,4.9,1.4,5.1,3.3,3.4,4.2,4.5,3.5,5.5,4.5,5,3.1,7,4.9,4.7,4.9,44
Bolivia,BOL,5.9,6.6,0,0,4,3.8,3.2,0,2.2,3.1,7.7,6,2.2,5.9,0,1.5,1.4,4.4,2.6,1.4,4,5.6,6.2,5.9,5.6,6,7,6.1,6,4.2,76
Nepal,NPL,9.9,10,0,0,2.1,6.8,5.4,0,3.8,5.5,8.7,5.4,1.9,6.2,2.8,2.9,0.1,3.7,2.3,2.6,4.6,5.8,6.9,6.3,6.9,6.2,7,6.7,6.5,5.5,30
Pakistan,PAK,8.9,8.4,7.7,5,3.4,7.1,9.9,8,8,7.6,9.8,4.8,0.6,6.3,6,3.1,1.5,5.9,3.7,5,5.7,4,6.9,5.5,7.2,5.1,7,6.4,6,6.4,16
Fiji,FJI,4.9,0,9.6,9.5,1.9,6.8,0,0,0,4.2,7.2,4.7,3.1,5.6,0,0.4,0.8,2,1.1,0.6,3.5,5.8,6.9,6.4,x,3.7,7,5.4,5.9,4.4,66
Peru,PER,9.9,6.1,10,0,4.9,7.7,5.6,0,3.9,6.2,8.1,4.9,0.4,5.4,0,0.7,1.3,3,1.7,0.9,3.5,3.7,5.7,4.7,5.2,5,7,5.8,5.3,4.8,46
Sri Lanka,LKA,0,8.3,10,3.2,2.7,6.4,7.4,0,5.2,5.8,8.7,3.6,0.9,5.5,2.6,0.6,3.4,4.7,3.1,2.8,4.3,3.6,5.9,4.8,5.6,0.7,7,4.5,4.6,4.9,45
Timor-Leste,TLS,6,3.4,9.1,0,0.4,4.9,0.8,0,0.5,3,4,1.7,6.7,4.1,0,5.9,0,7,4.9,2.8,3.5,6.3,7.3,6.8,8.1,6.3,7,7.2,7,4.2,75
Honduras,HND,6.6,6.3,4.2,4.1,4.6,5.3,3.2,0,2.2,3.9,9.2,7.3,2.6,7.1,0,0.7,0.6,2.9,1.4,0.7,4.6,5.2,6.9,6.1,6.2,4.5,7,6,6,4.8,48
Cabo Verde,CPV,0,0,0,0,7,2,0,0,0,1.1,5.5,6.4,9.8,6.8,0,0.8,0,2.8,1.3,0.7,4.4,3.8,4.5,4.1,9.8,4.6,7,7.2,5.9,3,120
Indonesia,IDN,8.4,8.7,10,0.7,2.3,7.5,9.2,0,6.4,7,9.2,4.8,0,5.8,0,3.4,0.4,3.6,2.6,1.4,3.9,3.8,6.1,5,6,5.3,7,6.2,5.6,5.4,32
Bhutan,BTN,7.1,9.1,0,0,0,4.7,0.1,0,0.1,2.7,4.8,3.4,7.1,5,0,1.1,0,4.1,1.9,1,3.3,6.4,4,5.2,8.9,5,7,7.1,6.3,3.8,90
Guyana,GUY,0,6.8,0,0,3.6,2.6,0.1,0,0,1.4,8.2,4.8,4.8,6.5,0,0.7,0,2.9,1.3,0.7,4.1,x,6.3,6.3,6.4,4,7,5.9,6.1,3.3,109
Tonga,TON,0,0,0,8.5,0,2.8,0,0,0,1.5,6.3,2,10,6.1,0,1,3.8,2.3,2.5,1.3,4.1,5.8,5.4,5.6,0.4,1.7,7,3.2,4.5,3,119
Bangladesh,BGD,8.7,10,10,9.8,3.1,9.1,8.7,0,6.1,7.9,8.5,3.8,0.8,5.4,2.4,1.6,1.4,4.2,2.5,2.5,4.1,3.2,7,5.1,6.8,5.6,8,6.7,6,5.8,25
Guatemala,GTM,9,5.3,9.3,1.7,3.5,6.8,5.2,0,3.7,5.4,9.4,7.5,0.7,6.8,0,0.4,2.6,3.8,2.4,1.2,4.6,4.3,6.8,5.5,6.4,4.3,8,6.1,5.8,5.2,35
Namibia,NAM,0,3.8,0,0,7,2.7,1.4,0,1,1.9,8.1,7.7,3,6.7,1.3,4.9,7.7,7.4,6.8,4.6,5.8,4.3,4.9,4.6,8.2,6.3,8,7.4,6.2,4.1,81
Samoa,WSM,0,0,0,7.6,0,2.3,0,0,0,1.2,6.7,x,10,7.8,0,1,1,1.3,1.1,0.6,5.2,4.6,4.7,4.7,x,1.9,8,4.8,4.7,3.1,115
Zambia,ZMB,1.3,4.3,0,0,3.7,2,2.9,0,2,2,9.6,7.6,3,7.4,2.8,6.2,0,6.8,4.9,3.9,6,3.5,6.1,4.8,8.4,7.7,8,7.9,6.6,4.3,71
Cambodia,KHM,0,10,2.9,0,3.6,5,5.2,0,3.7,4.4,9.4,5.6,3.1,6.9,0,2.8,0.2,4.7,2.7,1.5,4.7,6.8,7.4,7.1,7.9,7.1,8,7.6,7.4,5.3,34
Haiti,HTI,6.1,9,0,7.7,3.3,6.1,5.2,0,3.6,5,10,7.6,8.3,9,0,2.7,0.7,9.1,5.5,3.2,7,6.7,8.1,7.4,9,8.3,8,8.4,7.9,6.5,13
Marshall Islands,MHL,0.2,0,0,0.4,2.1,0.6,0,0,0,0.3,6.4,x,10,7.6,0,2.1,6.7,2.3,4.1,2.3,5.6,7.3,8.2,7.7,x,1.9,8,4.9,6.5,2.2,149
Sao Tome and Principe,STP,0,0,0,0,0,0,0,0,0,0,4.7,6.5,10,6.5,0,4.4,0,2.1,2.4,1.3,4.3,x,6.1,6.1,8.6,5.2,8,7.2,6.7,0.4,188
Tuvalu,TUV,0.2,0,0.3,0,0.7,0.3,0,0,0,0.1,5.9,x,10,7.3,0,x,0,2.3,1.2,0.6,4.8,x,6.3,6.3,x,1.2,8,4.6,5.5,1.5,171
India,IND,7.9,10,7.8,8.3,5,8.2,10,0,7,7.6,9.3,5,0.1,5.9,2.3,3.5,0.2,4,2.7,2.5,4.4,3.5,5.9,4.7,7,3.4,8,6.2,5.5,5.7,28
Gabon,GAB,1.8,4,0,0,0.6,1.4,2.4,0,1.7,1.5,9,6.1,1,6.3,1.8,6,1.2,4,4,3,4.8,x,6.6,6.6,6.7,6,8,7,6.8,3.7,94
Philippines,PHL,10,9.6,10,9.6,3.4,9.3,8.4,7,7,8.3,9.2,4.1,0.1,5.6,3.8,3.3,7.1,2.5,4.7,4.3,5,4.3,5.6,4.9,4.7,3.4,8,5.4,5.2,6,18
Mali,MLI,0,5.3,0,0,6,2.8,9.2,8,8,6,10,5.1,5.5,7.7,4.8,6.9,5.9,2.7,5.4,5.1,6.6,5.4,6.9,6.2,9.2,8.4,8,8.6,7.6,6.7,11
Micronesia,FSM,1.9,0,0,1.9,3.1,1.4,0,0,0,0.7,6.7,9,10,8.1,0,3.4,0,2.3,2,1.1,5.6,6,6.1,6.1,x,4.9,8,6.7,6.4,3,121
Myanmar,MMR,9.4,10,10,9.7,0,9.1,9.5,7,7,8.2,10,6.5,0.2,6.7,6,5,0.1,4.7,3.6,4.9,5.9,7.1,8,7.5,7,5,9,6.8,7.2,7,7
Sudan,SDN,0,8.5,0,0,6.7,4.2,10,9,9,7.3,10,6.3,1.6,7,8.3,2.9,2.5,7.9,5,6.9,7,4.9,8.5,6.7,7.9,9.1,9,8.5,7.7,7.3,4
Lao PDR,LAO,3.7,9.8,0,0.7,1.4,4.7,2.3,0,1.6,3.3,9.9,6.3,2.8,7.2,0,3.6,1.1,6.2,3.9,2.2,5.2,4.3,7,5.6,7.4,6.2,9,7.4,6.6,4.8,47
Djibouti,DJI,4.6,2,0,0,9.6,4.6,0.6,0,0.4,2.8,6.3,3.7,4.5,5.2,2.7,3.2,0,4.8,2.9,2.8,4.1,5.5,6.9,6.2,8.8,5,9,7.5,6.9,4.3,72
Kiribati,KIR,0.9,0,0,0,5.1,1.5,0,0,0,0.8,4.8,x,10,6.5,0,2.9,0.2,0.9,1.4,0.7,4.2,x,6.7,6.7,x,5.7,9,7.2,7,2.8,127
Lesotho,LSO,0,3.5,0,0,5,2,1.5,0,1.1,1.5,9.3,7.2,6.1,8,0,6.5,8.7,3.4,6.7,4.1,6.4,7.9,5.4,6.7,8.5,6.8,9,8,7.4,4.2,77
Madagascar,MDG,0,5.7,0,10,4.3,5.6,1.3,0,0.9,3.6,8.4,4.8,1.7,5.8,0,4.1,0.5,6.8,4.3,2.4,4.3,3.9,7.2,5.6,8.7,9.7,9,9.1,7.7,4.9,42
Nauru,NRU,4.5,0,0,0,0,1.1,0,0,0,0.6,5.1,x,5,5.1,0,x,0,2.3,1.2,0.6,3.1,8.1,6.2,7.1,x,x,9,8.7,8,2.4,141
Rwanda,RWA,4.1,4.8,0,0,4.1,2.9,2.3,0,1.6,2.3,10,8.2,6,8.6,3.4,6.1,0,6.9,4.9,4.2,6.9,3.5,4.9,4.2,9.2,5.5,9,7.8,6.3,4.6,55
Tanzania,TZA,4.4,5.5,4.7,0,4.8,4.1,5.5,0,3.9,4,9.9,6.4,4.5,7.7,4,6.4,0.6,7.7,5.6,4.8,6.5,4.3,6.5,5.4,8.3,9.5,9,8.8,7.5,5.8,26
Afghanistan,AFG,8.9,7.9,0,0,6.8,5.9,9.9,10,10,8.7,10,5.4,9.9,8.8,6,2.6,0.5,6.6,3.7,4.9,7.3,7.3,8.5,7.9,8.1,8.2,9,8.4,8.2,8,3
Ghana,GHA,0,5.6,0,0,0.6,1.5,1.7,0,1.2,1.4,9.5,4.5,2.9,6.6,1.2,5.1,0.1,1.7,2.6,1.9,4.7,3.6,5.3,4.5,7.4,6.4,9,7.5,6.2,3.4,102
Swaziland,SWZ,0,2.8,0,0,4.7,1.7,3.6,0,2.5,2.1,10,6.7,2.5,7.3,1,7.6,0,7.1,5.7,3.7,5.8,8.3,6,7.1,8,6.2,9,7.7,7.5,4.5,63
Mozambique,MOZ,2.4,8.6,3.9,5.7,5.1,5.6,4.2,0,2.9,4.4,10,7.6,6.5,8.5,0.9,8.1,0.8,6.5,5.8,3.8,6.8,2.5,6.6,4.6,9,9.5,9,9.2,7.6,6.1,17
Uganda,UGA,4.4,4.9,0,0,5.2,3.2,7.1,8,8,6.2,10,5.3,3.7,7.3,2.7,7.3,0.1,6,5.1,4,5.9,x,6.8,6.8,9,6.8,9,8.3,7.6,6.5,14
Angola,AGO,0,3.6,0,0,4.4,1.8,7,0,4.9,3.5,4.7,4.4,0.3,3.5,1.4,5.8,2.1,5.8,4.8,3.3,3.4,5.3,7.6,6.4,8.1,7.8,9,8.4,7.5,4.5,64
Congo,COG,1.2,4.3,0,0,0,1.3,4.7,0,3.3,2.3,9.8,6.5,1.4,6.8,3,6.5,0.1,7.9,5.7,4.4,5.8,x,7.6,7.6,7.2,8.1,9,8.2,7.9,4.7,50
Vanuatu,VUT,7.1,0,5.7,8.6,1.1,5.4,0,0,0,3.1,5.1,x,9.5,6.6,0,4.6,7.9,1.8,5.3,3.1,5.1,5.4,5.4,5.4,x,5.3,9,7.3,6.4,4.7,53
Zimbabwe,ZWE,0.1,3.3,0,0.2,6,2.3,6.4,0,4.5,3.4,9.2,4.9,4.4,6.9,1.5,7.5,3,7.9,6.6,4.5,5.9,x,7.6,7.6,7.2,6.4,9,7.6,7.6,5.4,33
Gambia,GMB,0,3.5,0,0,3.4,1.5,0.2,0,0.2,0.9,10,6.1,6.6,8.2,2.7,5.2,5.9,3.8,5,4,6.5,x,6.8,6.8,10,4.8,9,8,7.5,3.5,100
Nigeria,NGA,0,7.9,0,0,0,2.4,9.9,9,9,6.8,8.8,6,0.4,6,0,6.5,1,3.8,4.1,2.3,4.4,2.8,7.3,5,7.4,8,9,8.3,6.9,5.9,20
Benin,BEN,0,9.8,0,0,0,3.9,1.6,0,1.1,2.6,10,5.6,3.4,7.3,0,5.7,0.3,4,3.6,2,5.2,x,6.3,6.3,8.7,7.7,10,8.7,7.7,4.7,51
Congo DR,COD,4,8,0,0,0,3.2,10,7,7,5.4,10,7,4.4,7.9,6.7,7.1,0,8.9,6.5,6.6,7.3,x,8,8,8.5,9.1,10,9,8.5,7,8
Liberia,LBR,0,3.6,0,0,0.6,0.9,1.3,0,0.9,0.9,10,5.5,8.6,8.5,3.4,7,0,7.1,5.4,4.5,7,x,6.9,6.9,9.1,7.9,10,8.9,8,3.7,92
Solomon Islands,SLB,5.4,0,9.1,0.9,2.5,4.7,0,0,0,2.6,6,x,10,7.3,0,5.7,9.6,3.8,7.2,4.5,6.1,6.6,6.7,6.7,x,7.2,10,8.3,7.6,5,41
Cameroon,CMR,1,6.8,0,0,2.8,2.6,2.5,0,1.7,2.2,10,5.9,1.3,6.8,3.1,5.5,0.1,3.1,3.2,3.2,5.3,x,7.1,7.1,8.1,7,10,8.2,7.7,4.5,65
Comoros,COM,0,0,6.1,0.3,1.1,1.9,0.1,0,0.1,1,7.8,9.8,5.6,7.8,0,5.1,3.1,4.8,4.4,2.5,5.7,7.8,7.5,7.6,8.7,5.2,10,7.9,7.8,3.6,99
Kenya,KEN,4.1,6,4,0,5.6,4.2,9.3,7,7,5.8,10,7.7,3.6,7.8,4.9,4.7,2.4,7.1,5,5,6.6,4.7,6.6,5.7,8.5,8.3,10,8.8,7.6,6.6,12
Malawi,MWI,3.8,5.5,0,0,5.2,3.3,0.5,0,0.4,1.9,10,6.8,6.3,8.3,1.1,6.6,3.4,5.2,5.2,3.4,6.4,4.5,6.2,5.3,9.2,7.4,10,8.8,7.4,4.5,62
Mauritania,MRT,0,3.3,0,0,9.3,3.9,3.3,0,2.3,3.1,10,6.9,6.3,8.3,4.6,3.4,4.6,3.2,3.7,4.2,6.7,4.8,6.9,5.9,8.2,9.4,10,9.1,7.9,5.5,29
South Sudan,SSD,2.3,5.4,0,0,5.2,2.9,9.9,9,9,7,6.8,5.1,7.7,6.6,5.7,x,0.3,6.1,3.8,4.8,5.8,x,8.3,8.3,x,9.4,10,9.5,9,7.1,6
Togo,TGO,0,4.8,0,0,0,1.2,4.2,0,2.9,2.1,10,5.6,3.6,7.3,2.1,6.4,0,5,4.3,3.2,5.6,5.8,7.4,6.6,8.8,8.8,10,9.1,8.1,4.6,59
Côte d'Ivoire,CIV,0,5.3,0,0,0.6,1.5,5.6,0,3.9,2.8,7.3,4.1,5.8,6.2,5.7,6.8,0,4.2,4.2,5,5.6,7.1,7.2,7.2,7.7,7,10,8.1,7.7,4.9,43
Papua New Guinea,PNG,6.7,3.8,4.3,0,1.8,3.7,2.4,0,1.7,2.8,10,8.5,3.2,7.9,1.6,4.1,1,2.3,2.6,2.1,5.8,6.7,7,6.8,x,9.6,10,9.7,8.7,5.2,36
Sierra Leone,SLE,0,4.6,0,0,0.6,1.2,3.7,0,2.6,1.9,10,5.5,5.9,7.8,1.3,7,0.3,6.3,5.1,3.5,6.1,3.5,7.1,5.3,9.1,8.8,10,9.3,7.8,4.5,61
Yemen,YEM,0.2,0,5.8,0,2.8,2.1,9.9,10,10,7.9,10,6.6,1.8,7.1,4.8,1.5,0.1,5.7,2.8,3.9,5.7,9.2,7.8,8.5,7.4,7.8,10,8.3,8.4,7.3,5
Burkina Faso,BFA,0,4.6,0,0,5.6,2.4,2.6,0,1.9,2.1,7.7,3.7,5.1,6.1,2,5.3,4.2,5,4.9,3.6,4.9,3.3,6.2,4.8,8.8,7.5,10,8.7,7.2,4.2,74
Guinea,GIN,0,4.2,0,0,0.9,1.2,5.7,0,4,2.7,8.1,3.6,2.7,5.6,1.3,5.9,0.1,6.3,4.6,3.1,4.5,x,7.6,7.6,9.1,7.6,10,8.9,8.3,4.6,54
Guinea-Bissau,GNB,0,2.8,0,0,2.4,1.1,3,0,2.1,1.6,8,2.6,4.4,5.8,2.5,6.6,0,4.6,4.2,3.4,4.7,9.9,8,9,10,7.8,10,9.2,9.1,4.1,79
Senegal,SEN,0,5.7,0,0,5.8,2.8,5.8,0,4,3.4,10,6.1,4.2,7.6,1.5,5.5,2.2,5.5,4.5,3.2,5.8,3.6,5.9,4.8,7.8,6.7,10,8.1,6.8,5.1,38
Burundi,BDI,3.9,4,0,0,4.3,2.7,6.6,0,4.6,3.7,10,5.2,6.1,7.8,4.2,7.2,0.1,9.9,7.4,6.1,7.1,6,7.5,6.8,8.8,6,10,8.2,7.6,5.8,23
Central African Republic,CAF,0.5,4.3,0,0,0,1.1,9.7,10,10,7.8,10,8.6,6,8.7,7.6,10,0.1,8.9,8.1,7.9,8.3,x,8,8,9.6,8.3,10,9.3,8.7,8.3,2
Chad,TCD,0,6.3,0,0,5.7,3,8.4,0,5.9,4.6,7,3.7,2.8,5.1,5.5,5.4,10,8,8.4,7.2,6.3,x,8,8,9.1,9.8,10,9.6,9,6.4,15
Eritrea,ERI,2.2,2.7,0,0,6.9,2.8,2.2,0,1.6,2.2,8.9,x,1.9,6.5,1.2,5,0,9.8,6.6,4.4,5.6,x,8,8,8.4,9.2,10,9.2,8.7,4.8,49
Ethiopia,ETH,5.2,7.1,0,0,5.9,4.2,9,0,6.3,5.3,8.1,2.2,3.4,5.4,3.4,4.4,1.5,7.1,4.7,4.1,4.8,3.4,6.4,4.9,8.8,9.3,10,9.4,7.8,5.9,21
Niger,NER,0,6.1,0,0,6.3,3.1,6.5,0,4.5,3.9,10,6.2,6,8,3.3,5.9,5.4,3.9,5.1,4.3,6.5,5.7,6.5,6.1,9.2,9.8,10,9.7,8.4,6,19
Somalia,SOM,0,6.7,6.3,0,9.1,5.6,9.9,10,10,8.6,9.3,x,3.9,7.5,5.5,5.6,7.5,8.5,7.4,6.5,7,x,9.3,9.3,x,9.5,10,9.7,9.5,8.3,1
